TIMESTAMP,L101_volume,L102_volume,L103_volume,L104_volume,L106_volume,L107_volume,L108_volume,L101_occupancy,L102_occupancy,L103_occupancy,L104_occupancy,L106_occupancy,L107_occupancy,L108_occupancy
5/1/2000 0:00,14,34,14,26,15,18,13,2.76,8.66,42.52,16.93,47.64,3.54,3.15
5/1/2000 0:01,31,18,24,27,13,24,15,6.3,4.33,9.84,13.78,48.82,5.12,3.15
5/1/2000 0:03,18,23,20,19,36,15,32,3.15,5.12,11.02,9.45,20.47,1.97,10.24
5/1/2000 0:04,35,28,23,37,19,20,17,6.3,8.27,47.64,24.02,42.92,3.54,3.54
5/1/2000 0:06,13,37,24,27,27,22,23,2.76,9.06,14.17,16.14,49.22,4.72,5.12
5/1/2000 0:07,29,24,33,33,13,21,16,5.91,6.69,7.48,18.9,47.64,4.33,3.54
5/1/2000 0:09,19,28,19,24,21,21,16,3.54,5.91,4.33,13.39,52.37,4.72,3.15
5/1/2000 0:10,23,13,13,24,11,17,16,3.94,2.76,2.36,11.02,47.64,2.76,4.72
5/1/2000 0:12,14,32,21,28,26,24,20,2.36,7.48,3.54,17.32,51.97,3.94,5.51
5/1/2000 0:13,23,18,35,29,14,20,21,3.54,3.94,8.66,13.78,48.04,3.15,5.91
5/1/2000 0:15,18,31,21,23,29,31,27,3.54,7.09,4.33,11.02,51.58,5.51,6.3
5/1/2000 0:16,27,23,30,33,22,13,16,5.51,5.12,6.3,17.72,47.64,1.97,3.54
5/1/2000 0:18,25,32,17,34,26,34,18,5.12,6.69,3.94,17.32,49.61,5.91,4.33
5/1/2000 0:19,19,8,24,15,19,12,11,3.15,1.18,5.12,7.09,51.58,1.97,1.97
5/1/2000 0:21,19,40,16,24,15,22,16,3.54,9.45,3.54,12.6,51.58,3.94,3.94
5/1/2000 0:22,24,7,25,23,18,9,15,4.72,1.18,5.12,12.6,54.33,1.57,3.15
5/1/2000 0:24,20,27,29,23,26,24,15,3.54,5.91,5.91,11.81,44.1,4.33,4.33
5/1/2000 0:25,22,17,14,19,11,13,18,3.54,3.94,2.36,9.84,46.07,2.76,4.33
5/1/2000 0:27,21,28,19,26,26,20,19,4.33,5.12,3.54,12.21,51.58,3.54,5.12
5/1/2000 0:28,15,20,19,22,11,11,16,2.76,4.72,4.72,11.81,46.07,1.57,4.33
5/1/2000 0:30,16,26,30,24,17,29,12,2.36,5.51,9.84,12.21,53.55,5.12,2.76
5/1/2000 0:31,29,18,20,19,17,11,24,6.3,3.94,3.94,11.81,24.41,1.97,6.3
5/1/2000 0:33,25,26,31,31,27,23,24,5.12,5.91,6.69,16.54,45.67,4.33,7.87
5/1/2000 0:34,24,14,23,20,13,11,13,5.12,3.15,4.72,9.84,49.61,1.97,2.76
5/1/2000 0:36,23,17,18,21,15,27,21,4.33,3.54,3.54,9.45,48.43,5.91,4.72
5/1/2000 0:37,25,16,20,15,16,8,25,4.72,2.76,3.94,7.48,28.35,1.18,5.91
5/1/2000 0:39,22,30,27,32,32,24,21,3.94,6.3,5.12,15.36,8.27,3.94,6.69
5/1/2000 0:40,19,17,26,18,22,17,14,3.15,3.54,6.3,8.66,46.07,2.76,4.33
5/1/2000 0:42,21,25,21,29,14,23,18,3.54,4.33,5.51,12.21,50.79,3.94,3.54
5/1/2000 0:43,17,15,22,19,14,8,14,3.15,3.15,4.33,9.06,48.43,1.57,3.15
5/1/2000 0:45,21,30,18,26,18,22,25,3.94,5.51,43.31,11.42,39.77,3.94,5.91
5/1/2000 0:46,18,16,22,23,18,7,12,3.15,3.15,35.83,10.63,41.34,0.79,2.36
5/1/2000 0:48,21,31,22,34,21,23,14,3.54,5.51,4.33,16.54,42.13,3.94,2.76
5/1/2000 0:49,14,8,18,10,14,22,21,2.76,1.57,3.54,5.51,48.43,3.54,4.72
5/1/2000 0:51,25,32,22,32,11,18,17,4.72,6.3,4.33,15.75,46.46,2.76,3.15
5/1/2000 0:52,13,11,10,16,16,9,13,1.97,1.97,1.97,8.66,30.71,1.57,3.15
5/1/2000 0:54,14,19,21,24,20,23,16,2.76,3.94,3.94,10.24,5.12,4.33,3.15
5/1/2000 0:55,16,18,13,16,24,15,20,2.76,3.94,2.36,9.84,5.91,2.76,4.33
5/1/2000 0:57,21,25,38,24,35,20,14,3.54,4.33,7.48,11.81,10.63,3.54,2.36
5/1/2000 0:58,24,8,18,8,29,13,17,4.33,1.57,3.15,3.94,9.06,2.36,3.94
5/1/2000 1:00,16,27,23,29,22,10,11,2.76,5.51,4.72,14.17,5.12,1.57,2.36
5/1/2000 1:01,12,15,15,15,32,15,19,1.97,3.15,3.15,7.48,9.06,2.36,4.33
5/1/2000 1:03,24,19,23,22,26,17,15,4.33,3.54,10.24,9.45,7.48,3.15,3.15
5/1/2000 1:04,19,13,14,11,27,20,26,3.15,2.36,8.66,4.72,7.09,3.94,5.51
5/1/2000 1:06,23,24,26,31,40,20,11,3.94,4.72,5.91,14.96,11.02,3.15,1.97
5/1/2000 1:07,18,23,20,19,23,10,15,3.15,4.72,33.47,9.45,7.87,1.97,3.15
