TIMESTAMP,L101_volume,L102_volume,L103_volume,L104_volume,L106_volume,L107_volume,L108_volume,L101_occupancy,L102_occupancy,L103_occupancy,L104_occupancy,L106_occupancy,L107_occupancy,L108_occupancy
4/1/00 0:00,51,50,45,50,59,42,32,25.59,16.54,22.05,41.74,22.05,55.12,10.24
4/1/00 0:01,39,36,38,42,59,37,29,11.81,11.02,20.87,40.95,19.69,43.70,14.57
4/1/00 0:03,47,39,43,36,58,28,28,14.96,8.66,35.83,30.32,20.08,18.90,9.06
4/1/00 0:04,32,45,35,42,54,31,44,7.09,17.72,10.24,59.85,18.90,7.09,13.39
4/1/00 0:06,42,38,41,33,57,26,30,15.36,11.81,20.47,48.04,14.17,5.12,20.87
4/1/00 0:07,45,40,41,35,62,35,18,11.42,18.11,10.24,43.70,21.66,7.87,4.72
4/1/00 0:09,38,30,37,37,51,33,27,8.27,10.24,9.06,54.73,15.75,7.48,7.87
4/1/00 0:10,29,41,39,46,53,35,30,5.91,27.95,10.24,59.06,16.14,9.06,9.45
4/1/00 0:12,32,38,38,39,55,29,30,8.66,22.05,10.63,67.72,17.72,5.91,6.69
4/1/00 0:13,43,47,31,37,47,37,42,11.42,29.92,8.27,53.15,14.57,9.45,16.14
4/1/00 0:15,42,45,40,41,57,32,43,11.42,29.53,10.24,63.78,18.11,6.30,18.51
4/1/00 0:16,41,37,42,33,65,39,34,9.84,14.57,24.02,34.65,25.20,10.24,12.60
4/1/00 0:18,35,44,49,40,56,28,31,7.09,22.84,27.17,41.74,14.96,5.51,14.17
4/1/00 0:19,38,37,39,32,59,31,34,8.66,12.60,13.78,59.45,16.14,6.69,17.32
4/1/00 0:21,40,48,46,47,58,38,22,11.02,38.19,10.63,56.30,17.72,8.66,5.91
4/1/00 0:22,43,40,42,32,51,42,35,10.63,14.96,11.42,75.20,13.78,11.42,8.66
4/1/00 0:24,42,36,46,28,54,45,22,9.84,12.60,12.99,34.25,15.36,10.63,5.51
4/1/00 0:25,42,36,43,37,54,34,36,9.45,17.32,11.02,37.80,16.54,8.66,10.63
4/1/00 0:27,38,32,40,25,52,33,27,11.02,12.21,10.24,35.04,13.39,8.66,9.45
4/1/00 0:28,39,37,41,27,50,29,34,9.45,11.81,12.60,26.77,14.57,5.51,13.78
4/1/00 0:30,37,26,33,28,50,24,27,8.66,7.48,8.27,17.32,16.54,4.33,27.17
4/1/00 0:31,47,49,39,41,43,22,31,10.63,26.38,10.24,38.98,11.81,4.72,17.72
4/1/00 0:33,35,35,42,28,59,30,25,7.87,10.63,11.42,36.22,17.32,6.30,6.30
4/1/00 0:34,33,48,32,42,51,35,28,7.09,22.05,7.48,35.44,13.78,7.09,7.87
4/1/00 0:36,43,43,34,37,52,24,29,10.63,15.36,8.27,37.80,16.93,5.51,8.27
4/1/00 0:37,40,48,43,48,57,33,28,9.06,32.29,10.24,67.33,17.72,6.30,7.48
4/1/00 0:39,39,41,37,42,54,47,32,7.87,26.38,9.84,46.46,15.75,11.02,8.27
4/1/00 0:40,39,54,38,40,57,44,30,7.87,25.20,10.63,58.67,16.93,15.75,8.66
4/1/00 0:42,41,38,39,26,48,35,34,9.06,12.99,9.45,65.36,12.60,8.66,9.84
4/1/00 0:43,35,40,45,42,54,36,30,7.48,19.69,13.39,41.34,14.96,11.02,9.06
4/1/00 0:45,41,50,32,46,46,39,37,9.84,24.02,8.27,43.70,12.21,7.87,14.17
4/1/00 0:46,50,35,45,40,68,46,32,11.42,11.02,11.02,36.62,20.87,10.63,9.45
4/1/00 0:48,46,35,41,31,46,40,39,11.81,11.81,27.56,31.10,13.39,9.84,11.81
4/1/00 0:49,33,57,42,48,55,30,37,7.09,37.40,11.42,54.33,16.54,6.30,12.21
4/1/00 0:51,38,32,42,34,49,27,31,9.84,26.77,12.60,85.05,18.51,6.30,28.35
4/1/00 0:52,37,40,41,38,48,39,38,8.27,18.11,11.02,68.12,13.78,7.48,31.10
4/1/00 0:54,41,34,37,34,57,39,34,8.66,12.99,8.66,35.83,29.92,8.66,14.96
4/1/00 0:55,37,29,53,31,57,26,23,10.63,10.63,22.05,33.86,15.75,4.72,5.51
4/1/00 0:57,47,37,41,34,48,36,27,12.60,16.14,11.02,40.55,14.57,8.27,6.30
4/1/00 0:58,49,33,42,35,54,40,33,10.24,17.32,10.63,36.22,14.57,9.45,9.45
4/1/00 1:00,46,42,32,36,42,38,32,12.99,24.02,7.48,48.04,11.81,7.87,10.24
4/1/00 1:01,40,34,28,29,53,23,24,9.45,12.99,6.30,37.80,13.39,4.72,6.69
4/1/00 1:03,43,29,40,30,47,38,24,10.24,10.63,9.45,28.35,12.21,8.27,5.51
4/1/00 1:04,42,45,29,36,44,34,22,9.06,20.87,7.09,41.34,12.60,7.48,5.91
4/1/00 1:06,27,45,31,47,55,45,25,7.48,20.47,17.32,46.85,13.78,8.27,7.87
4/1/00 1:07,27,41,33,35,56,40,37,6.30,23.62,8.27,39.37,14.17,8.27,14.96
4/1/00 1:09,42,29,41,36,54,37,39,9.45,10.24,12.21,55.52,17.72,7.48,18.51
4/1/00 1:10,42,29,55,31,59,39,26,11.81,8.66,22.44,29.14,17.32,9.45,7.87
4/1/00 1:12,42,35,48,36,50,42,29,10.24,14.96,16.54,33.07,18.51,10.24,7.87
